last_name, first_name,pitcher,ff_avg_speed,last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Peralta, Wily,503449,93.6,Peralta, Wily,503449,DET,FF,4-Seamer,1.3,5,372,23.9,72,0.3,0.467,0.425,9.6,5.6,4.7,0.309,0.475,0.391,45.6
Peralta, Freddy,642547,93.4,Peralta, Freddy,642547,MIL,FF,4-Seamer,-1.7,-20,1218,51.7,310,0.156,0.308,0.278,30.9,35.5,28.9,0.176,0.322,0.281,41.9
Pérez, Martín,527048,93.4,Pérez, Martín,527048,BOS,FF,4-Seamer,0.3,1,243,13.1,45,0.25,0.477,0.337,17.1,22.2,13.9,0.251,0.513,0.327,35.3
Petit, Yusmeiro,433589,87.6,Petit, Yusmeiro,433589,OAK,FF,4-Seamer,0.1,0,491,45.4,129,0.266,0.427,0.309,11,5.4,5.9,0.291,0.471,0.331,38.7
Pineda, Michael,501381,90.6,Pineda, Michael,501381,MIN,FF,4-Seamer,-0.9,-8,925,54.2,243,0.284,0.493,0.364,14.6,14.8,14.6,0.307,0.555,0.38,56.2
Pivetta, Nick,601713,94.8,Pivetta, Nick,601713,BOS,FF,4-Seamer,0.1,1,1423,51.8,336,0.255,0.435,0.35,20.9,24.1,17.4,0.233,0.412,0.324,46.3
Plesac, Zach,668676,92.8,Plesac, Zach,668676,CLE,FF,4-Seamer,1.9,18,919,41.7,214,0.325,0.623,0.439,17,14.5,13.2,0.32,0.633,0.43,54
Price, David,456034,92.9,Price, David,456034,LAD,FF,4-Seamer,-2.4,-5,212,18,48,0.227,0.318,0.267,29,29.2,23.3,0.182,0.272,0.227,38.7
Quantrill, Cal,615698,94.3,Quantrill, Cal,615698,CLE,FF,4-Seamer,0.7,2,342,14.5,83,0.281,0.531,0.422,19,19.3,13.8,0.231,0.411,0.364,44.9
Quintana, José,500779,91.5,Quintana, José,500779,SF,FF,4-Seamer,0.1,0,506,40.8,120,0.296,0.519,0.383,24.9,30.8,22.3,0.259,0.455,0.342,46.5
Rasmussen, Drew,656876,97.1,Rasmussen, Drew,656876,TB,FF,4-Seamer,-1.7,-13,781,65,200,0.221,0.337,0.287,25,22,20.2,0.265,0.391,0.319,55.1
Ray, Robbie,592662,94.8,Ray, Robbie,592662,TOR,FF,4-Seamer,-1.2,-22,1864,59.3,471,0.222,0.431,0.318,24,24.6,21.1,0.243,0.457,0.328,43.2
Reyes, Alex,621052,96.6,Reyes, Alex,621052,STL,FF,4-Seamer,-1,-4,385,30.8,105,0.207,0.293,0.333,23.2,18.1,17.3,0.22,0.377,0.344,35.9
Richards, Garrett,572070,94.3,Richards, Garrett,572070,BOS,FF,4-Seamer,0.3,4,1236,53,355,0.304,0.487,0.389,17.8,14.6,15.8,0.313,0.515,0.395,52.5
